Time,Precinct,Rsq,Feature
01-2019,5,0.187748964,Safety
02-2019,5,0.275781602,Safety
03-2019,5,0.84806389,Safety
04-2019,5,0.211645931,Safety
05-2019,5,0.404361238,Safety
06-2019,5,0.717481241,Safety
07-2019,5,0.186104823,Safety
08-2019,5,1.006005141,Safety
09-2019,5,0.756686378,Safety
10-2019,5,0.676404766,Safety
11-2019,5,0.694757055,Safety
12-2019,5,0.419984129,Safety
01-2017,6,0.32526283,Safety
02-2017,6,0.439057959,Safety
03-2017,6,0.845592417,Safety
04-2017,6,0.374136856,Safety
05-2017,6,0.541839938,Safety
06-2017,6,0.178497109,Safety
07-2017,6,0.199623104,Safety
08-2017,6,0.597014471,Safety
09-2017,6,0.145296875,Safety
10-2017,6,0.378700279,Safety
11-2017,6,0.73888316,Safety
12-2017,6,0.337640826,Safety
01-2018,6,0.827227499,Safety
02-2018,6,0.676241058,Safety
03-2018,6,0.264867234,Safety
04-2018,6,0.851463666,Safety
05-2018,6,0.508193656,Safety
06-2018,6,0.230188099,Safety
07-2018,6,0.531011236,Safety
08-2018,6,0.498497246,Safety
09-2018,6,0.800071682,Safety
10-2018,6,0.406415025,Safety
11-2018,6,0.739984324,Safety
12-2018,6,0.821289215,Safety
01-2019,6,0.791607539,Safety
02-2019,6,0.556390851,Safety
03-2019,6,0.848993827,Safety
04-2019,6,0.722370354,Safety
05-2019,6,0.532026185,Safety
06-2019,6,0.714354999,Safety
07-2019,6,0.469387713,Safety
08-2019,6,0.327481686,Safety
09-2019,6,0.3076064,Safety
10-2019,6,0.626515331,Safety
11-2019,6,0.512110237,Safety
12-2019,6,0.558703117,Safety
01-2017,7,0.934294148,Safety
02-2017,7,0.516025427,Safety
03-2017,7,0.18466371,Safety
04-2017,7,0.457112275,Safety
05-2017,7,0.444818439,Safety
06-2017,7,0.792174455,Safety
07-2017,7,0.546082326,Safety
08-2017,7,0.485137902,Safety
09-2017,7,0.461511273,Safety
10-2017,7,0.436810511,Safety
11-2017,7,0.340732544,Safety
12-2017,7,0.317589367,Safety
01-2018,7,0.568963622,Safety
02-2018,7,0.557690318,Safety
03-2018,7,0.984670803,Safety
04-2018,7,0.373651841,Safety
05-2018,7,0.313317293,Safety
06-2018,7,0.980431003,Safety
07-2018,7,0.440479799,Safety
08-2018,7,0.251487992,Safety
09-2018,7,0.430804264,Safety
10-2018,7,0.599201171,Safety
11-2018,7,0.850188834,Safety
12-2018,7,0.29510543,Safety
01-2019,7,0.594499719,Safety
02-2019,7,0.637929827,Safety
03-2019,7,0.699664104,Safety
04-2019,7,0.357907963,Safety
05-2019,7,0.607816693,Safety
06-2019,7,0.589491789,Safety
07-2019,7,0.770274362,Safety
08-2019,7,0.517463829,Safety
09-2019,7,0.315520085,Safety
10-2019,7,0.611325759,Safety
11-2019,7,0.606910821,Safety
12-2019,7,0.392000189,Safety
01-2017,9,0.135839692,Safety
02-2017,9,0.487125588,Safety
03-2017,9,0.544375512,Safety
04-2017,9,0.222433075,Safety
05-2017,9,0.515168588,Safety
06-2017,9,0.042790334,Safety
07-2017,9,0.633724392,Safety
08-2017,9,0.858086643,Safety
09-2017,9,0.467402973,Safety
10-2017,9,0.935251359,Safety
11-2017,9,0.556570201,Safety
12-2017,9,0.023387571,Safety
01-2018,9,0.555573182,Safety
02-2018,9,0.615841689,Safety
03-2018,9,0.472993477,Safety
04-2018,9,0.746494505,Safety
05-2018,9,0.76183557,Safety
06-2018,9,0.583667679,Safety
07-2018,9,0.291230624,Safety
08-2018,9,0.371543911,Safety
09-2018,9,0.636081004,Safety
10-2018,9,-0.194629339,Safety
11-2018,9,0.516430889,Safety
12-2018,9,0.187395719,Safety
01-2019,9,0.50758088,Safety
02-2019,9,0.536591178,Safety
03-2019,9,0.560130331,Safety
04-2019,9,0.290439328,Safety
05-2019,9,0.192539653,Safety
06-2019,9,0.815320655,Safety
07-2019,9,0.403372583,Safety
08-2019,9,0.915204034,Safety
09-2019,9,0.235101907,Safety
10-2019,9,0.768097607,Safety
11-2019,9,0.44284038,Safety
12-2019,9,0.457272813,Safety
01-2017,10,0.487896287,Safety
02-2017,10,0.96935881,Safety
03-2017,10,0.617893912,Safety
04-2017,10,0.659357575,Safety
05-2017,10,0.389415412,Safety
06-2017,10,0.600180242,Safety
07-2017,10,0.63720166,Safety
08-2017,10,0.083311519,Safety
09-2017,10,0.507540256,Safety
10-2017,10,1.112858962,Safety
11-2017,10,0.66435257,Safety
12-2017,10,0.303508591,Safety
01-2018,10,1.050179642,Safety
02-2018,10,0.396306864,Safety
03-2018,10,-0.089719799,Safety
04-2018,10,1.070440908,Safety
05-2018,10,0.376730411,Safety
06-2018,10,0.844503384,Safety
07-2018,10,-0.265840993,Safety
08-2018,10,0.662247256,Safety
09-2018,10,0.497739309,Safety
10-2018,10,0.436370949,Safety
11-2018,10,0.971352167,Safety
12-2018,10,0.731099058,Safety
01-2019,10,0.669478997,Safety
02-2019,10,0.375132064,Safety
03-2019,10,0.527002731,Safety
04-2019,10,0.220058424,Safety
05-2019,10,0.696706843,Safety
06-2019,10,0.375897217,Safety
07-2019,10,0.24257367,Safety
08-2019,10,0.159010532,Safety
09-2019,10,0.482126985,Safety
10-2019,10,0.317105234,Safety
11-2019,10,0.474811575,Safety
12-2019,10,0.27867281,Safety
01-2017,13,0.209447385,Safety
02-2017,13,0.718875727,Safety
03-2017,13,0.427803095,Safety
04-2017,13,0.702267433,Safety
05-2017,13,1.036758388,Safety
06-2017,13,0.414629287,Safety
07-2017,13,0.279559168,Safety
08-2017,13,0.506626779,Safety
09-2017,13,0.974322286,Safety
10-2017,13,0.305864391,Safety
11-2017,13,0.314996551,Safety
12-2017,13,0.835112858,Safety
01-2018,13,0.67802174,Safety
02-2018,13,0.815210804,Safety
03-2018,13,0.686305743,Safety
04-2018,13,0.618330816,Safety
05-2018,13,0.835404829,Safety
06-2018,13,0.56023286,Safety
07-2018,13,-0.14699941,Safety
08-2018,13,0.484822282,Safety
09-2018,13,0.646937091,Safety
10-2018,13,0.186061661,Safety
11-2018,13,0.289460414,Safety
12-2018,13,0.679653886,Safety
01-2019,13,0.482104446,Safety
02-2019,13,0.727352644,Safety
03-2019,13,0.513853547,Safety
04-2019,13,0.436544544,Safety
05-2019,13,0.764507447,Safety
06-2019,13,0.912475145,Safety
07-2019,13,0.200467808,Safety
08-2019,13,0.653673466,Safety
09-2019,13,0.622199901,Safety
10-2019,13,0.574202241,Safety
11-2019,13,0.339030093,Safety
12-2019,13,0.556450999,Safety
01-2017,14,0.222305992,Safety
02-2017,14,0.123602511,Safety
03-2017,14,0.503068815,Safety
04-2017,14,1.013850712,Safety
05-2017,14,0.506911596,Safety
06-2017,14,0.68629262,Safety
07-2017,14,0.453364811,Safety
08-2017,14,0.499402531,Safety
09-2017,14,0.639775176,Safety
10-2017,14,0.316622903,Safety
11-2017,14,0.020506991,Safety
12-2017,14,0.718358619,Safety
01-2018,14,0.500948344,Safety
02-2018,14,0.667517563,Safety
03-2018,14,0.585137057,Safety
04-2018,14,-0.009988786,Safety
05-2018,14,0.423399131,Safety
06-2018,14,0.719356535,Safety
07-2018,14,0.340990785,Safety
08-2018,14,0.422267173,Safety
09-2018,14,0.569997167,Safety
10-2018,14,0.462656759,Safety
11-2018,14,0.717409415,Safety
12-2018,14,0.470784076,Safety
01-2019,14,0.34304054,Safety
02-2019,14,0.647541064,Safety
03-2019,14,0.60307926,Safety
04-2019,14,0.828698599,Safety
05-2019,14,-0.095369936,Safety
06-2019,14,0.024043092,Safety
07-2019,14,0.313427393,Safety
08-2019,14,0.343747516,Safety
09-2019,14,0.322641927,Safety
10-2019,14,0.820107413,Safety
11-2019,14,0.343523622,Safety
12-2019,14,0.471752389,Safety
01-2017,17,0.873331502,Safety
02-2017,17,0.493565253,Safety
03-2017,17,0.365257216,Safety
04-2017,17,0.148255813,Safety
05-2017,17,0.647226165,Safety
06-2017,17,0.237612203,Safety
07-2017,17,0.616404639,Safety
08-2017,17,0.598516556,Safety
09-2017,17,0.332649417,Safety
10-2017,17,0.597758568,Safety
11-2017,17,0.897587931,Safety
12-2017,17,0.390457887,Safety
01-2018,17,0.468999402,Safety
02-2018,17,0.67038177,Safety
03-2018,17,0.922490213,Safety
04-2018,17,0.673334052,Safety
05-2018,17,0.839925426,Safety
06-2018,17,0.465532294,Safety
07-2018,17,0.427221982,Safety
08-2018,17,0.091982084,Safety
09-2018,17,0.9689852,Safety
10-2018,17,-0.016513379,Safety
11-2018,17,0.312213466,Safety
12-2018,17,0.637065403,Safety
01-2019,17,0.047218708,Safety
02-2019,17,0.636645052,Safety
03-2019,17,0.481786238,Safety
04-2019,17,0.649590813,Safety
05-2019,17,0.359822651,Safety
06-2019,17,0.470847085,Safety
07-2019,17,0.568948585,Safety
08-2019,17,0.223960675,Safety
09-2019,17,0.372671121,Safety
10-2019,17,0.777792673,Safety
11-2019,17,0.199351972,Safety
12-2019,17,0.262557998,Safety
01-2017,18,0.456175252,Safety
02-2017,18,0.413738195,Safety
03-2017,18,0.896780553,Safety
04-2017,18,0.466795484,Safety
05-2017,18,0.658590058,Safety
06-2017,18,0.53997003,Safety
07-2017,18,0.346726132,Safety
08-2017,18,0.090777727,Safety
09-2017,18,0.544325583,Safety
10-2017,18,0.581862949,Safety
11-2017,18,0.287725082,Safety
12-2017,18,0.317075017,Safety
01-2018,18,0.753697607,Safety
02-2018,18,0.631058867,Safety
03-2018,18,0.362371342,Safety
04-2018,18,0.105339894,Safety
05-2018,18,0.635210606,Safety
06-2018,18,0.513883665,Safety
07-2018,18,0.528635826,Safety
08-2018,18,0.287335149,Safety
09-2018,18,0.666525013,Safety
10-2018,18,-0.081509085,Safety
11-2018,18,0.6524635,Safety
12-2018,18,0.5221732,Safety
01-2019,18,0.590547486,Safety
02-2019,18,0.409798372,Safety
03-2019,18,0.585363921,Safety
04-2019,18,0.501030321,Safety
05-2019,18,0.200064295,Safety
06-2019,18,0.473699066,Safety
07-2019,18,0.514967037,Safety
08-2019,18,0.150583725,Safety
09-2019,18,0.663910444,Safety
10-2019,18,0.64443461,Safety
11-2019,18,0.625332067,Safety
12-2019,18,0.677316541,Safety
01-2017,19,0.551519936,Safety
02-2017,19,0.536897445,Safety
03-2017,19,0.273070788,Safety
04-2017,19,0.552737255,Safety
05-2017,19,0.379498624,Safety
06-2017,19,0.463478775,Safety
07-2017,19,0.760893899,Safety
08-2017,19,0.810297128,Safety
09-2017,19,0.669043782,Safety
10-2017,19,0.46850211,Safety
11-2017,19,0.893194618,Safety
12-2017,19,0.704068758,Safety
01-2018,19,0.449077033,Safety
02-2018,19,1.264761828,Safety
03-2018,19,0.84106373,Safety
04-2018,19,0.506249082,Safety
05-2018,19,0.779059752,Safety
06-2018,19,0.570524072,Safety
07-2018,19,0.602923042,Safety
08-2018,19,0.223596497,Safety
09-2018,19,0.28653535,Safety
10-2018,19,0.767346361,Safety
11-2018,19,0.567201896,Safety
12-2018,19,0.201707395,Safety
01-2019,19,0.130545871,Safety
02-2019,19,0.374446485,Safety
03-2019,19,1.031787009,Safety
04-2019,19,0.141443666,Safety
05-2019,19,0.419965483,Safety
06-2019,19,0.511992523,Safety
07-2019,19,0.557606083,Safety
08-2019,19,0.727228646,Safety
09-2019,19,0.732880973,Safety
10-2019,19,0.715489097,Safety
11-2019,19,0.321000336,Safety
12-2019,19,0.610921391,Safety
01-2017,20,0.533077121,Safety
02-2017,20,0.189935734,Safety
03-2017,20,0.035293089,Safety
04-2017,20,0.151867372,Safety
05-2017,20,0.391866228,Safety
06-2017,20,0.56578464,Safety
07-2017,20,0.269960253,Safety
08-2017,20,0.429922452,Safety
09-2017,20,0.570309671,Safety
10-2017,20,0.256881141,Safety
11-2017,20,0.536654588,Safety
12-2017,20,-0.16301609,Safety
01-2018,20,0.032488074,Safety
02-2018,20,0.18627555,Safety
03-2018,20,0.329687661,Safety
04-2018,20,0.176587455,Safety
05-2018,20,0.058091444,Safety
06-2018,20,0.380589659,Safety
07-2018,20,0.90729261,Safety
08-2018,20,0.367227724,Safety
09-2018,20,0.293388118,Safety
10-2018,20,0.411584359,Safety
11-2018,20,0.451972395,Safety
12-2018,20,0.74241735,Safety
01-2019,20,0.371972976,Safety
02-2019,20,0.486177203,Safety
03-2019,20,0.812871667,Safety
04-2019,20,0.76355785,Safety
05-2019,20,0.844896135,Safety
06-2019,20,0.893919141,Safety
07-2019,20,0.828063618,Safety
08-2019,20,0.859422492,Safety
09-2019,20,0.337991177,Safety
10-2019,20,0.179986052,Safety
11-2019,20,0.326845152,Safety
12-2019,20,0.369779978,Safety
01-2017,22,0.192847709,Safety
02-2017,22,0.208355866,Safety
03-2017,22,0.538282154,Safety
04-2017,22,0.559240267,Safety
05-2017,22,0.413783992,Safety
06-2017,22,0.395853702,Safety
07-2017,22,0.302935996,Safety
08-2017,22,0.298753603,Safety
09-2017,22,0.456802358,Safety
10-2017,22,0.245131545,Safety
11-2017,22,0.448079539,Safety
12-2017,22,0.824084846,Safety
01-2018,22,0.246502428,Safety
02-2018,22,0.079273249,Safety
03-2018,22,0.708334897,Safety
04-2018,22,0.453747844,Safety
05-2018,22,0.389806038,Safety
06-2018,22,0.672041983,Safety
07-2018,22,0.641241726,Safety
08-2018,22,0.139568074,Safety
09-2018,22,0.354481591,Safety
10-2018,22,0.670594721,Safety
11-2018,22,0.765983263,Safety
12-2018,22,0.56916854,Safety
01-2019,22,0.250632729,Safety
02-2019,22,0.007582312,Safety
03-2019,22,0.504764029,Safety
04-2019,22,0.274107964,Safety
05-2019,22,0.109845531,Safety
06-2019,22,0.172497276,Safety
07-2019,22,0.809508797,Safety
08-2019,22,0.576893014,Safety
09-2019,22,0.68040236,Safety
10-2019,22,0.650434524,Safety
11-2019,22,0.357656337,Safety
12-2019,22,0.173294903,Safety
01-2017,23,0.841251597,Safety
02-2017,23,0.840480132,Safety
03-2017,23,0.698494781,Safety
04-2017,23,0.305986063,Safety
05-2017,23,0.940480283,Safety
06-2017,23,0.542557166,Safety
07-2017,23,0.691322101,Safety
08-2017,23,1.031794591,Safety
09-2017,23,0.273936512,Safety
10-2017,23,0.569959107,Safety
11-2017,23,0.229488042,Safety
12-2017,23,0.795436307,Safety
01-2018,23,0.513320821,Safety
02-2018,23,0.06230258,Safety
03-2018,23,-0.110945353,Safety
04-2018,23,0.267534333,Safety
05-2018,23,0.540450826,Safety
06-2018,23,0.63948507,Safety
07-2018,23,0.422437624,Safety
08-2018,23,0.543076801,Safety
09-2018,23,0.619656085,Safety
10-2018,23,0.663835621,Safety
11-2018,23,0.453079471,Safety
12-2018,23,0.509958845,Safety
01-2019,23,0.480446565,Safety
02-2019,23,0.183856241,Safety
03-2019,23,0.024793155,Safety
04-2019,23,0.7399124,Safety
05-2019,23,0.605343957,Safety
06-2019,23,0.33811258,Safety
07-2019,23,0.489803812,Safety
08-2019,23,0.35539859,Safety
09-2019,23,0.5632879,Safety
10-2019,23,0.188254035,Safety
11-2019,23,0.558852532,Safety
12-2019,23,0.758914311,Safety
01-2017,24,0.731135293,Safety
02-2017,24,0.679634387,Safety
03-2017,24,0.533760962,Safety
04-2017,24,0.578736449,Safety
05-2017,24,0.52885411,Safety
06-2017,24,0.878984355,Safety
07-2017,24,0.387044689,Safety
08-2017,24,0.531068365,Safety
09-2017,24,0.360940466,Safety
10-2017,24,0.925764269,Safety
11-2017,24,0.876997575,Safety
12-2017,24,0.305081218,Safety
01-2018,24,0.005922608,Safety
02-2018,24,0.262554582,Safety
03-2018,24,0.521320937,Safety
04-2018,24,0.637486736,Safety
05-2018,24,0.438627531,Safety
06-2018,24,0.380418612,Safety
07-2018,24,0.518214089,Safety
08-2018,24,0.23587075,Safety
09-2018,24,0.746167792,Safety
10-2018,24,0.63120172,Safety
11-2018,24,0.21019321,Safety
12-2018,24,0.593057025,Safety
01-2019,24,0.166501238,Safety
02-2019,24,0.525143121,Safety
03-2019,24,0.659143439,Safety
04-2019,24,0.603975911,Safety
05-2019,24,0.668351736,Safety
06-2019,24,0.438977472,Safety
07-2019,24,0.306429889,Safety
08-2019,24,0.618923754,Safety
09-2019,24,0.323397888,Safety
10-2019,24,0.495280099,Safety
11-2019,24,0.370599053,Safety
12-2019,24,0.176722,Safety
01-2017,25,0.664997731,Safety
02-2017,25,0.704736603,Safety
03-2017,25,1.19513633,Safety
04-2017,25,0.844749189,Safety
05-2017,25,0.435870119,Safety
06-2017,25,0.550127637,Safety
07-2017,25,0.501506299,Safety
08-2017,25,0.73339039,Safety
09-2017,25,0.678196174,Safety
10-2017,25,0.663926445,Safety
11-2017,25,0.650429877,Safety
12-2017,25,0.535822247,Safety
01-2018,25,0.744039227,Safety
02-2018,25,0.512358476,Safety
03-2018,25,0.698280011,Safety
04-2018,25,0.344323249,Safety
05-2018,25,0.686982575,Safety
06-2018,25,0.406649595,Safety
07-2018,25,0.592841577,Safety
08-2018,25,0.159329998,Safety
09-2018,25,0.306743486,Safety
10-2018,25,0.714492811,Safety
11-2018,25,0.629625905,Safety
12-2018,25,-0.101299138,Safety
01-2019,25,0.544442945,Safety
02-2019,25,0.150700905,Safety
03-2019,25,0.098331916,Safety
04-2019,25,0.435876761,Safety
05-2019,25,0.106005271,Safety
06-2019,25,0.348329048,Safety
07-2019,25,0.675599893,Safety
08-2019,25,0.494446651,Safety
09-2019,25,0.735745154,Safety
10-2019,25,0.393379657,Safety
11-2019,25,0.587604263,Safety
12-2019,25,0.651508959,Safety
01-2017,26,0.201677833,Safety
02-2017,26,0.572254866,Safety
03-2017,26,0.189636463,Safety
04-2017,26,0.253109568,Safety
05-2017,26,0.228631745,Safety
06-2017,26,0.323444234,Safety
07-2017,26,0.179976113,Safety
08-2017,26,0.833213573,Safety
09-2017,26,0.253979094,Safety
10-2017,26,0.868385774,Safety
11-2017,26,0.133835547,Safety
12-2017,26,0.300695929,Safety
01-2018,26,0.423623672,Safety
02-2018,26,0.415066581,Safety
03-2018,26,0.372696692,Safety
04-2018,26,-0.138353518,Safety
05-2018,26,0.48583508,Safety
06-2018,26,0.375213592,Safety
07-2018,26,0.439670296,Safety
08-2018,26,0.187494214,Safety
09-2018,26,0.542730749,Safety
10-2018,26,0.66405096,Safety
11-2018,26,0.808419665,Safety
12-2018,26,0.708991228,Safety
01-2019,26,0.264704256,Safety
02-2019,26,0.655462294,Safety
03-2019,26,0.551490371,Safety
04-2019,26,0.158535672,Safety
05-2019,26,0.189904296,Safety
06-2019,26,-0.011549883,Safety
07-2019,26,0.306662277,Safety
08-2019,26,0.735465037,Safety
09-2019,26,0.551895083,Safety
10-2019,26,0.451135875,Safety
11-2019,26,0.527752906,Safety
12-2019,26,0.65823969,Safety
01-2017,28,0.074517267,Safety
02-2017,28,0.330789314,Safety
03-2017,28,0.629876491,Safety
04-2017,28,0.342940483,Safety
05-2017,28,0.256013072,Safety
06-2017,28,0.341642649,Safety
07-2017,28,0.375346838,Safety
08-2017,28,0.191727454,Safety
09-2017,28,0.673244079,Safety
10-2017,28,0.460697991,Safety
11-2017,28,0.44314981,Safety
12-2017,28,0.555929956,Safety
01-2018,28,0.599302347,Safety
02-2018,28,0.036287975,Safety
03-2018,28,0.632861427,Safety
04-2018,28,0.340262767,Safety
05-2018,28,0.612259127,Safety
06-2018,28,0.672270547,Safety
07-2018,28,1.109351376,Safety
08-2018,28,0.643045054,Safety
09-2018,28,0.523300285,Safety
10-2018,28,0.467990686,Safety
11-2018,28,0.637716416,Safety
12-2018,28,0.175417204,Safety
01-2019,28,0.633685493,Safety
02-2019,28,0.534418418,Safety
03-2019,28,0.886066218,Safety
04-2019,28,0.344568685,Safety
05-2019,28,0.583985343,Safety
06-2019,28,0.18376493,Safety
07-2019,28,0.544526798,Safety
08-2019,28,0.489297379,Safety
09-2019,28,0.520525408,Safety
10-2019,28,0.577518031,Safety
11-2019,28,0.237071173,Safety
12-2019,28,0.355228503,Safety
01-2017,30,0.549505525,Safety
02-2017,30,-0.180898795,Safety
03-2017,30,0.734834035,Safety
04-2017,30,0.70593851,Safety
05-2017,30,0.496817609,Safety
06-2017,30,0.614042546,Safety
07-2017,30,0.454510015,Safety
08-2017,30,0.766058705,Safety
09-2017,30,0.379766432,Safety
10-2017,30,0.903662974,Safety
11-2017,30,0.402006958,Safety
12-2017,30,0.832309449,Safety
01-2018,30,0.591310931,Safety
02-2018,30,0.688830588,Safety
03-2018,30,0.721452032,Safety
04-2018,30,0.955093214,Safety
05-2018,30,0.580359934,Safety
06-2018,30,0.715635292,Safety
07-2018,30,0.246172689,Safety
08-2018,30,0.415935954,Safety
09-2018,30,0.419032553,Safety
10-2018,30,0.722175627,Safety
11-2018,30,0.342397835,Safety
12-2018,30,0.486513484,Safety
01-2019,30,1.067957332,Safety
02-2019,30,0.426092674,Safety
03-2019,30,0.282445457,Safety
04-2019,30,0.545616536,Safety
05-2019,30,0.474500414,Safety
06-2019,30,1.087214999,Safety
07-2019,30,0.604201345,Safety
08-2019,30,0.547473637,Safety
09-2019,30,0.052978142,Safety
10-2019,30,0.407915933,Safety
11-2019,30,0.799704996,Safety
12-2019,30,0.35230011,Safety
01-2017,32,0.548523315,Safety
02-2017,32,0.748648099,Safety
03-2017,32,0.601262169,Safety
04-2017,32,0.378339378,Safety
05-2017,32,0.632814685,Safety
06-2017,32,0.824005222,Safety
07-2017,32,0.312767044,Safety
08-2017,32,0.546302068,Safety
09-2017,32,0.627112025,Safety
10-2017,32,0.28470529,Safety
11-2017,32,0.505650521,Safety
12-2017,32,0.927936763,Safety
01-2018,32,0.959784388,Safety
02-2018,32,0.476939308,Safety
03-2018,32,0.56002951,Safety
04-2018,32,0.19820209,Safety
05-2018,32,0.846777265,Safety
06-2018,32,0.514443581,Safety
07-2018,32,0.278480812,Safety
08-2018,32,0.222344775,Safety
09-2018,32,0.288975283,Safety
10-2018,32,0.712895813,Safety
11-2018,32,0.607729847,Safety
12-2018,32,0.484970661,Safety
01-2019,32,0.294142594,Safety
02-2019,32,0.63063189,Safety
03-2019,32,0.604678,Safety
04-2019,32,0.337012862,Safety
05-2019,32,0.452668008,Safety
06-2019,32,0.113815897,Safety
07-2019,32,0.442687482,Safety
08-2019,32,0.205207466,Safety
09-2019,32,0.385561853,Safety
10-2019,32,0.027618048,Safety
11-2019,32,0.720313038,Safety
12-2019,32,0.704932297,Safety
01-2017,33,0.185878699,Safety
02-2017,33,0.414795134,Safety
03-2017,33,0.558023839,Safety
04-2017,33,0.586444027,Safety
05-2017,33,0.244888354,Safety
06-2017,33,0.718698907,Safety
07-2017,33,0.395381021,Safety
08-2017,33,0.616736665,Safety
09-2017,33,0.636786991,Safety
10-2017,33,0.660362296,Safety
11-2017,33,0.134284129,Safety
12-2017,33,0.697062595,Safety
01-2018,33,0.671005603,Safety
02-2018,33,0.529134675,Safety
03-2018,33,0.862783296,Safety
04-2018,33,0.215552669,Safety
05-2018,33,0.910588052,Safety
06-2018,33,0.817133495,Safety
07-2018,33,0.996182485,Safety
08-2018,33,0.262082595,Safety
09-2018,33,0.728549069,Safety
10-2018,33,0.550813443,Safety
11-2018,33,0.266742996,Safety
12-2018,33,0.744598191,Safety
01-2019,33,0.608404999,Safety
02-2019,33,0.363901756,Safety
03-2019,33,0.503846535,Safety
04-2019,33,0.378494475,Safety
05-2019,33,0.513523452,Safety
06-2019,33,0.680580137,Safety
07-2019,33,0.290363636,Safety
08-2019,33,0.572426961,Safety
09-2019,33,0.908297149,Safety
10-2019,33,0.746675341,Safety
11-2019,33,0.31814805,Safety
12-2019,33,0.320812744,Safety
01-2017,34,0.630221928,Safety
02-2017,34,0.139465469,Safety
03-2017,34,0.644818865,Safety
04-2017,34,0.074210018,Safety
05-2017,34,0.46162483,Safety
06-2017,34,0.563126156,Safety
07-2017,34,0.250553146,Safety
08-2017,34,0.323429841,Safety
09-2017,34,0.917336358,Safety
10-2017,34,0.746112051,Safety
11-2017,34,0.669505547,Safety
12-2017,34,0.551162893,Safety
01-2018,34,0.511357394,Safety
02-2018,34,0.100194141,Safety
03-2018,34,0.563692637,Safety
04-2018,34,0.126883713,Safety
05-2018,34,0.501818883,Safety
06-2018,34,0.611471251,Safety
07-2018,34,0.070736362,Safety
08-2018,34,0.401405116,Safety
09-2018,34,0.322832723,Safety
10-2018,34,0.045704535,Safety
11-2018,34,0.574771114,Safety
12-2018,34,0.615577264,Safety
01-2019,34,0.411009483,Safety
02-2019,34,0.224200221,Safety
03-2019,34,0.498163479,Safety
04-2019,34,0.265443845,Safety
05-2019,34,0.399912842,Safety
06-2019,34,0.563011707,Safety
07-2019,34,0.612928267,Safety
08-2019,34,0.585606911,Safety
09-2019,34,0.295115612,Safety
10-2019,34,0.1489654,Safety
11-2019,34,0.469171573,Safety
12-2019,34,0.442209461,Safety
01-2017,40,0.192943786,Safety
02-2017,40,0.154692022,Safety
03-2017,40,0.205140498,Safety
04-2017,40,0.932458326,Safety
05-2017,40,0.836484079,Safety
06-2017,40,0.566911982,Safety
07-2017,40,0.414295413,Safety
08-2017,40,0.138341347,Safety
09-2017,40,0.654300775,Safety
10-2017,40,0.621418018,Safety
11-2017,40,0.387076108,Safety
12-2017,40,0.53497448,Safety
01-2018,40,0.770088718,Safety
02-2018,40,0.324554634,Safety
03-2018,40,0.131863331,Safety
04-2018,40,0.456608905,Safety
05-2018,40,0.454471512,Safety
06-2018,40,0.557876427,Safety
07-2018,40,0.912700054,Safety
08-2018,40,0.469756193,Safety
09-2018,40,0.449121668,Safety
10-2018,40,0.141168113,Safety
11-2018,40,0.862623753,Safety
12-2018,40,0.514032288,Safety
01-2019,40,0.551199533,Safety
02-2019,40,0.523988513,Safety
03-2019,40,0.873755194,Safety
04-2019,40,0.907132072,Safety
