precinct,maximum_ticketed_car_type,percentage_maximum_ticketed_car_type,maximum_ticketed_vehicle_color,percentage_maximum_ticketed_vehicle_color,maximum_ticketed_violation_code,maximum_ticketed_violation_definition,maximum_ticketed_plate_type,percent_maximum_ticketed_plate_type,quotas_condition_met,max_tickets_issued_time_of_day,collisions,time
79,Suburban,43.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,,1-2014
81,Suburban,39.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,90.0,True,Morning,,1-2014
83,Suburban,39.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,False,Morning,,1-2014
84,Suburban,32.0,WHITE,28.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,70.0,True,Afternoon,,1-2014
88,Suburban,37.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Afternoon,,1-2014
90,Suburban,49.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,False,Morning,,1-2014
94,Suburban,40.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Morning,,1-2014
100,Suburban,39.0,GRAY,30.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,88.0,True,Morning,,1-2014
101,Suburban,38.0,GRAY,33.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,90.0,True,Night,,1-2014
102,4 Door Sedan,38.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,82.0,False,Morning,,1-2014
103,4 Door Sedan,40.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,78.0,True,Afternoon,,1-2014
104,Suburban,38.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,79.0,True,Morning,,1-2014
105,4 Door Sedan,38.0,GRAY,32.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,87.0,False,Afternoon,,1-2014
106,Suburban,40.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,84.0,False,Afternoon,,1-2014
107,4 Door Sedan,44.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Morning,,1-2014
108,Suburban,34.0,WHITE,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,73.0,True,Afternoon,,1-2014
109,Suburban,39.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,76.0,True,Morning,,1-2014
110,Suburban,39.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,75.0,True,Morning,,1-2014
111,Suburban,36.0,BLACK,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,83.0,True,Afternoon,,1-2014
112,4 Door Sedan,40.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,79.0,True,Morning,,1-2014
113,4 Door Sedan,38.0,GRAY,27.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,87.0,True,Night,,1-2014
114,4 Door Sedan,38.0,BLACK,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,79.0,True,Morning,,1-2014
115,Suburban,39.0,GRAY,27.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,77.0,False,Morning,,1-2014
120,4 Door Sedan,42.0,GRAY,33.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,94.0,True,Morning,,1-2014
121,Suburban,38.0,GRAY,32.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,94.0,False,Morning,,1-2014
122,Suburban,40.0,GRAY,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,91.0,False,Morning,,1-2014
123,Suburban,35.0,BLACK,29.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,90.0,True,Morning,,1-2014
1,Van,42.0,WHITE,46.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,commercial,51.0,True,Morning,,2-2014
5,Suburban,33.0,WHITE,36.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,59.0,True,Afternoon,,2-2014
6,Suburban,29.0,WHITE,35.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,62.0,True,Afternoon,,2-2014
7,Suburban,30.0,WHITE,33.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,63.0,True,Afternoon,,2-2014
9,Suburban,26.0,WHITE,38.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,60.0,True,Afternoon,,2-2014
10,Van,29.0,WHITE,46.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,53.0,True,Afternoon,,2-2014
13,Van,34.0,WHITE,46.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",passenger,49.0,True,Afternoon,,2-2014
14,Van,37.0,WHITE,52.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",commercial,50.0,True,Afternoon,,2-2014
17,Van,30.0,WHITE,47.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,47.0,True,Morning,,2-2014
18,Van,31.0,WHITE,46.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,48.0,True,Afternoon,,2-2014
19,Van,37.0,WHITE,40.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,50.0,True,Morning,,2-2014
20,Van,33.0,WHITE,40.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,52.0,True,Morning,,2-2014
22,Delivery Truck,39.0,BROWN,29.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",commercial,50.0,True,Morning,,2-2014
23,Suburban,32.0,WHITE,31.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,63.0,True,Morning,,2-2014
24,Suburban,28.0,WHITE,38.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,57.0,True,Morning,,2-2014
25,Suburban,33.0,WHITE,27.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,71.0,True,Morning,,2-2014
26,Suburban,30.0,WHITE,35.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,66.0,True,Morning,,2-2014
28,Suburban,31.0,WHITE,26.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,70.0,True,Afternoon,,2-2014
30,Suburban,33.0,WHITE,26.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,74.0,True,Morning,,2-2014
32,Suburban,36.0,GRAY,28.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,81.0,True,Night,,2-2014
33,Suburban,34.0,WHITE,29.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,71.0,True,Morning,,2-2014
34,Suburban,36.0,WHITE,28.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,75.0,True,Afternoon,,2-2014
40,Suburban,39.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,81.0,True,Morning,,2-2014
41,Suburban,41.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,True,Morning,,2-2014
42,Suburban,39.0,GRAY,30.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,84.0,True,Morning,,2-2014
43,Suburban,40.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,86.0,True,Morning,,2-2014
44,Suburban,42.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,82.0,True,Morning,,2-2014
45,4 Door Sedan,40.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,86.0,True,Afternoon,,2-2014
46,Suburban,38.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,81.0,True,Afternoon,,2-2014
47,Suburban,38.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,89.0,True,Morning,,2-2014
48,Suburban,40.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,84.0,True,Morning,,2-2014
49,4 Door Sedan,40.0,GRAY,31.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,88.0,True,Morning,,2-2014
50,Suburban,37.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Morning,,2-2014
52,Suburban,39.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,83.0,True,Morning,,2-2014
60,Suburban,40.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Afternoon,,2-2014
61,Suburban,44.0,BLACK,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,87.0,True,Afternoon,,2-2014
62,Suburban,43.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Afternoon,,2-2014
63,Suburban,40.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Afternoon,,2-2014
66,Suburban,55.0,GRAY,34.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Afternoon,,2-2014
67,Suburban,39.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,88.0,True,Night,,2-2014
68,Suburban,41.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,80.0,True,Afternoon,,2-2014
69,Suburban,37.0,GRAY,32.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,88.0,True,Night,,2-2014
70,Suburban,42.0,GRAY,33.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,87.0,True,Afternoon,,2-2014
71,Suburban,41.0,GRAY,32.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,89.0,True,Morning,,2-2014
72,Suburban,43.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,True,Afternoon,,2-2014
73,Suburban,37.0,GRAY,29.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,90.0,True,Night,,2-2014
75,Suburban,39.0,GRAY,29.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,89.0,True,Night,,2-2014
76,Suburban,39.0,GRAY,27.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,75.0,True,Afternoon,,2-2014
77,Suburban,35.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Morning,,2-2014
78,Suburban,42.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,82.0,True,Afternoon,,2-2014
79,Suburban,42.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Afternoon,,2-2014
81,Suburban,37.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,True,Night,,2-2014
83,Suburban,38.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,85.0,True,Morning,,2-2014
84,Suburban,33.0,WHITE,29.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,69.0,True,Afternoon,,2-2014
88,Suburban,36.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Afternoon,,2-2014
90,Suburban,48.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,83.0,True,Morning,,2-2014
94,Suburban,38.0,BLACK,26.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,True,Morning,,2-2014
100,Suburban,41.0,GRAY,29.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,88.0,True,Night,,2-2014
101,Suburban,37.0,GRAY,33.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,90.0,True,Night,,2-2014
102,Suburban,38.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,82.0,True,Morning,,2-2014
103,4 Door Sedan,41.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,79.0,True,Afternoon,,2-2014
104,Suburban,38.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,79.0,True,Morning,,2-2014
105,4 Door Sedan,38.0,GRAY,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,87.0,True,Afternoon,,2-2014
106,Suburban,40.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,84.0,True,Afternoon,,2-2014
107,4 Door Sedan,45.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,86.0,True,Morning,,2-2014
108,Suburban,35.0,WHITE,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,72.0,True,Afternoon,,2-2014
109,Suburban,40.0,WHITE,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,74.0,True,Morning,,2-2014
110,Suburban,38.0,WHITE,27.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,73.0,True,Morning,,2-2014
111,Suburban,39.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,83.0,True,Afternoon,,2-2014
112,4 Door Sedan,38.0,GRAY,27.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,76.0,True,Afternoon,,2-2014
113,4 Door Sedan,35.0,GRAY,29.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,86.0,True,Night,,2-2014
114,Suburban,36.0,BLACK,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,77.0,True,Morning,,2-2014
115,Suburban,38.0,WHITE,27.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,75.0,True,Morning,,2-2014
120,4 Door Sedan,43.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,93.0,True,Morning,,2-2014
121,Suburban,36.0,GRAY,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,92.0,True,Morning,,2-2014
122,Suburban,41.0,GRAY,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,92.0,True,Morning,,2-2014
123,Sedan,47.0,BLACK,30.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,90.0,True,Morning,,2-2014
1,Van,43.0,WHITE,46.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,commercial,52.0,False,Morning,247.0,3-2014
5,Suburban,31.0,WHITE,35.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,60.0,False,Afternoon,210.0,3-2014
6,Van,28.0,WHITE,36.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,62.0,False,Morning,128.0,3-2014
7,Suburban,29.0,WHITE,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,64.0,False,Afternoon,105.0,3-2014
9,Suburban,26.0,WHITE,36.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,62.0,False,Morning,120.0,3-2014
10,Van,30.0,WHITE,47.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,52.0,False,Afternoon,209.0,3-2014
13,Van,31.0,WHITE,46.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",passenger,51.0,False,Morning,210.0,3-2014
14,Van,37.0,WHITE,52.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",commercial,49.0,False,Afternoon,277.0,3-2014
17,Van,29.0,WHITE,47.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,47.0,False,Morning,240.0,3-2014
18,Van,31.0,WHITE,46.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,48.0,False,Afternoon,341.0,3-2014
19,Van,35.0,WHITE,39.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,51.0,False,Morning,396.0,3-2014
20,Van,30.0,WHITE,37.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,57.0,False,Morning,142.0,3-2014
22,Delivery Truck,31.0,WHITE,39.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,50.0,True,Morning,6.0,3-2014
23,Suburban,32.0,WHITE,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,67.0,False,Morning,104.0,3-2014
24,Suburban,29.0,WHITE,35.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,60.0,False,Morning,89.0,3-2014
25,Suburban,35.0,WHITE,26.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,74.0,True,Morning,150.0,3-2014
26,Suburban,30.0,WHITE,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,67.0,False,Morning,75.0,3-2014
28,Suburban,33.0,GRAY,25.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,72.0,False,Morning,65.0,3-2014
30,Suburban,34.0,GRAY,26.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,77.0,False,Morning,67.0,3-2014
32,Suburban,36.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,False,Morning,84.0,3-2014
33,Suburban,34.0,WHITE,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,73.0,False,Morning,131.0,3-2014
34,Suburban,38.0,WHITE,26.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,76.0,False,Morning,107.0,3-2014
40,Suburban,39.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,False,Morning,193.0,3-2014
41,Suburban,38.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,False,Morning,123.0,3-2014
42,Suburban,37.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,82.0,False,Morning,106.0,3-2014
43,Suburban,40.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,248.0,3-2014
44,Suburban,39.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,False,Morning,196.0,3-2014
45,4 Door Sedan,40.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,86.0,False,Morning,230.0,3-2014
46,Suburban,37.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,False,Morning,175.0,3-2014
47,4 Door Sedan,40.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,88.0,False,Morning,260.0,3-2014
48,Suburban,40.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,195.0,3-2014
49,4 Door Sedan,41.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,88.0,False,Morning,181.0,3-2014
50,4 Door Sedan,40.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,False,Morning,121.0,3-2014
52,Suburban,37.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,False,Morning,230.0,3-2014
60,Suburban,39.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,True,Morning,144.0,3-2014
61,Suburban,43.0,BLACK,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,88.0,False,Afternoon,265.0,3-2014
62,Suburban,43.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,87.0,False,Morning,214.0,3-2014
63,4 Door Sedan,40.0,GRAY,31.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,86.0,False,Afternoon,190.0,3-2014
